node,factor
AL0 0,2.4397880621193564
AT0 0,2.6912887276441775
BA0 0,2.00337982564181
BE0 0,2.0731459723057903
BG0 0,1.6811386681525984
CH0 0,2.6912887276441775
CZ0 0,2.2752797241873655
DE0 0,2.216877199033387
DK0 0,8.229953610289044
DK1 0,8.229953610289044
EE0 0,2.266251569172305
ES0 0,2.7649746988458657
ES6 0,2.7649746988458657
FI1 0,1.444538891461547
FR0 0,2.48380791850361
FR5 0,2.6336033869293405
GB2 0,2.5404984660608054
GB3 0,9.386535828645453
GR0 0,2.4397880621193564
HR0 0,2.00337982564181
HU0 0,2.965722560739333
IE3 0,9.386535828645453
IT0 0,2.6336033869293405
IT4 0,2.6336033869293405
LT0 0,4.81357378463404
LU0 0,3.5939892092603696
LV0 0,2.60904312417211
ME0 0,2.00337982564181
MK0 0,2.965722560739333
NL0 0,2.4240455921125372
NO1 0,1.1929488079515094
PL0 0,2.9869905779736667
PT0 0,2.4187220553059254
RO0 0,2.242670275187204
RS0 0,2.965722560739333
SE1 0,1.378554663286301
SI0 0,2.2449182399550773
SK0 0,1.8153916258568317
XK0 0,2.965722560739333
